0,9318
1,9169
2,9405
3,9400
4,9194
5,10731
6,12896
7,14286
8,15204
9,16247
10,17129
11,18386
12,19142
13,18961
14,19277
15,19945
16,20303
17,19803
18,19522
19,19384
20,18421
21,15825
22,13778
23,11923
24,9911
25,9784
26,8936
27,9938
28,10418
29,12649
30,15658
31,14032
32,31838
33,22956
34,21093
35,20134
36,20993
37,21702
38,22137
39,21393
40,21153
41,20866
42,20837
43,19226
44,18273
45,15839
46,13184
47,10826
48,9431
49,8399
50,8667
51,8646
52,9132
53,10396
54,12098
55,13672
56,14551
57,15400
58,15850
59,15625
60,17124
61,17108
62,17253
63,18123
64,17950
65,16908
66,16956
67,16452
68,15220
69,13628
70,11686
71,10026
72,9292
73,8343
74,7826
75,8672
76,7769
77,9241
78,11399
79,13346
80,15736
81,16570
82,18070
83,17652
84,17580
85,18370
86,18415
87,18160
88,18359
89,18309
90,17849
91,16857
92,15678
93,14201
94,12134
95,10341
96,9304
97,8104
98,8447
99,7121
100,7827
101,8702
102,10353
103,13117
104,15514
105,17320
106,18579
107,18568
108,19387
109,18728
110,20189
111,20114
112,19966
113,21389
114,21538
115,18458
116,40707
117,20988
118,15915
119,12197
120,10729
121,9823
122,8888
123,8734
124,9800
125,11176
126,12958
127,13969
128,15234
129,15634
130,16183
131,16688
132,17573
133,18769
134,18340
135,13302
136,18465
137,19830
138,19371
139,19245
140,17872
141,15602
142,12111
143,11081
144,8650
145,8782
146,8232
147,8652
148,8154
149,10391
150,11472
151,12834
152,14342
153,15072
154,15732
155,16287
156,16996
157,18525
158,18919
159,19656
160,20124
161,19383
162,19243
163,18783
164,17812
165,15192
166,13275
167,10514
168,9196
169,8822
170,8463
171,8482
172,9309
173,10986
174,12864
175,14522
176,15931
177,15871
178,16231
179,17112
180,17920
181,18581
182,19716
183,17890
184,19389
185,19403
186,19370
187,18565
188,17671
189,15910
190,13204
191,11181
192,9460
193,9138
194,9100
195,9566
196,10358
197,12595
198,15185
199,14217
200,31222
201,22106
202,20143
203,20530
204,21221
205,21716
206,21314
207,21238
208,21311
209,20638
210,19746
211,18961
212,17306
213,15906
214,13202
215,10756
216,9301
217,8684
218,8478
219,8297
220,9457
221,10576
222,11714
223,13892
224,14433
225,14837
226,15520
227,16081
228,16720
229,16837
230,17747
231,16981
232,17198
233,17490
234,16234
235,15511
236,14160
237,13093
238,11598
239,9887
240,8368
241,8237
242,7333
243,7709
244,8323
245,9282
246,10960
247,13863
248,15104
249,16144
250,17300
251,16616
252,17284
253,17499
254,17954
255,17454
256,17476
257,17382
258,16780
259,15021
260,15072
261,13393
262,11121
263,9738
264,8627
265,7990
266,8058
267,7655
268,7746
269,8840
270,10393
271,13141
272,14960
273,17723
274,17669
275,17298
276,18729
277,18233
278,19228
279,20268
280,20244
281,20377
282,21288
283,18604
284,38951
285,20857
286,15373
287,12567
288,10171
289,9464
290,9524
291,9464
292,9828
293,10997
294,13214
295,13529
296,14520
297,16062
298,16292
299,16671
300,17345
301,17413
302,18143
303,18686
304,18952
305,18964
306,19344
307,18090
308,17061
309,14624
310,11890
311,9634
312,8948
313,8436
314,8113
315,7865
316,8602
317,9715
318,11496
319,12651
320,13446
321,13998
322,14503
323,15195
324,15634
325,17209
326,17308
327,18135
328,17502
329,17974
330,17509
331,17063
332,16178
333,13865
334,12169
